Symbol,Volatility,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown,Vol_N,Sharpe_N,Sortino_N,MDD_N,Risk_Score
SHREECEM,0.38966486204162976,0.9810883557805216,1.538227750006885,-0.7997340264764553,0.256069049308505,0.8811410570779425,0.8330934653051918,0.2588612285254286,20.01739388626998
BAJAJFINSV,0.4009395792068003,0.8059781313674341,1.1334333017021536,-0.8678943154523618,0.27565540452451803,0.8184640567878363,0.7502729679022387,0.16389190435182832,21.770257104656782
ULTRACEMCO,0.3326471111335074,0.7484101014378044,1.1475919190104842,-0.7777968501909621,0.1570182344149375,0.7978587983530778,0.7531698053784565,0.2894268091209986,22.385410995110043
ASIANPAINT,0.3548751263061112,0.5712521499140765,0.5510308182190972,-0.9248048186299899,0.19563257786494098,0.7344488574643411,0.63111406250522,0.08459716974368492,22.86667069097662
BAJFINANCE,0.46682394754803336,0.8376779705088105,0.8239263666309834,-0.9328201662380522,0.3901092416017267,0.829810343583594,0.6869481905501522,0.07342919852772889,23.669497649892733
BHARTI,0.4475160890620613,1.313162578737062,2.3540021144316796,-0.5419426048565121,0.3565677727358831,1.0,1.0,0.6180480432651917,24.36539540002687
BAJAUTOFIN,0.5058311384709976,0.7734023431139305,1.216965029832469,-0.9180201082753288,0.4578722449838574,0.8068042425385054,0.7673634672943475,0.0940504653029739,24.443875011349466
EICHERMOT,0.48039932471115354,0.7223988484715895,0.8969552054181018,-0.9382370796620408,0.4136922863391688,0.7885486206340226,0.7018898103733471,0.06588168641015346,24.728388543548814
BRITANNIA,0.3356859094055832,0.4489149909650834,0.4620409639745647,-0.8536304097130049,0.16229721228327337,0.6906608595182673,0.6129068365335827,0.18376613769936445,26.0623913482697
TITAN,0.49996801954205544,0.6080710209103998,0.7410168270920029,-0.966868875408306,0.44768687817299485,0.7476273934170679,0.6699849902572002,0.025988336004016954,26.401570762568593
GRASIM,0.39558316075988154,0.39496799250295994,0.44407332665974775,-0.9243109286619625,0.26635027404097494,0.6713516726926911,0.6092306777675693,0.08528531818296536,26.776331044091993
HDFCBANK,0.38050039063047075,0.5229062729095556,0.5508335799173436,-0.841764751734352,0.240148597398593,0.7171444735701741,0.631073707766348,0.2002988363724305,27.305731310862534
SBIN,0.4260924826193047,0.3629879874584767,0.41664013349165663,-0.956775885041333,0.3193508421780024,0.659905106438957,0.6036178767199072,0.040051135449906905,27.396974861726132
UPL,0.39860833503610743,0.6702191076792678,0.8866960756212044,-0.7538907684871922,0.27160558440455057,0.769871986304191,0.6997908037385998,0.3227357116675891,28.116962650733722
MARUTI,0.344806196159314,0.7784953624229396,1.1569202099727858,-0.6133966466361308,0.17814090693330847,0.8086271810549637,0.755078363414894,0.5184894563043692,28.3231204691955
ITC,0.3912505729387603,0.2074325172123246,0.20308658880697725,-0.9404927581052522,0.25882373454327495,0.6042273167129506,0.5599250571493326,0.06273879689892392,28.93525393949789
ICICIBANK,0.47589642609622995,0.4934144255851538,0.6149543800988874,-0.897998996711443,0.40586988419093256,0.7065884907342047,0.6441927527215126,0.12194634812557448,29.425874721519747
ONGC,0.4168034010049097,0.1779633581378603,0.20217112535118517,-0.959574181377173,0.3032139183452594,0.5936794546560658,0.5597377543365581,0.0361522037428228,29.648722827386457
TCS,0.3769441452959106,0.40369306109375286,0.41396215926004015,-0.8205949992660369,0.23397071432289535,0.6744746264118655,0.6030699661474583,0.22979514742165374,29.65553172963063
RELIANCE,0.3815265303616214,0.46715061399301544,0.5386334907206357,-0.7900864678578633,0.24193119974516603,0.6971879149979959,0.6285775829803897,0.2723033975023932,29.711727481729337
HDFC,0.41421037746890926,0.5099167170614759,0.5691348769523566,-0.8147414430136947,0.29870933704928876,0.712495136854473,0.6348181329428957,0.23795104420040114,29.733677786308032
LT,0.4093608506809618,0.3387655939915255,0.3817000437473612,-0.8752856857567621,0.29028477500424404,0.6512352131335053,0.5964691729171615,0.1535933353012504,29.904343106370696
HEROHONDA,0.45534640819517297,0.39101873037199575,0.434972855155906,-0.9098984281466033,0.37017054518233033,0.6699381178613968,0.6073687313409173,0.10536659210595545,29.955757202149293
DRREDDY,0.3690254610467928,0.36077980408198096,0.41219849355561594,-0.8130794412374737,0.22021443465090568,0.6591147339144906,0.6027091220906668,0.2402667501317366,29.96643321943712
